"CustomerID","Age","PlanType","MonthlyBill","HoursWatched_Last30d","SignupDate","CustomerCode","LastSupportTicket"
"28-AHF","77","estandar","38.37","36.1","7/10/2023","28-AHF","ERROR EN LA APLICACION MOVIL. El cliente reporta intermitencia en el servicio."
"107-FPV","33","Basico","16.97","23.6","1/6/2025","107-FPV","CONSULTA SOBRE CONTENIDO DISPONIBLE. El problema persiste desde hace varios dÃ­as."
"11-SNZ","50","Basico","18.28","34.7","1/21/2021","11-SNZ","problema de conexion a internet. El problema persiste desde hace varios dÃ­as."
"25-JLV","53","Basico","16.69","38.1","1/21/2022","25-JLV","Queja sobre atencion al cliente. Cliente insatisfecho con la respuesta anterior."
"56-RVU","28","Basico","","22.6","5/21/2024","56-RVU","Queja sobre atencion al cliente"
"117-DDT","38","Estandar","31.42","70.8","11/10/2023","117-DDT","consulta sobre facturacion. El cliente reporta intermitencia en el servicio."
"108-PKP","73","Basico","15.52","47.7","1/27/2022","108-PKP","Consulta tecnica general. El problema persiste desde hace varios dÃ­as."
"67-ZTN","76","Basico","18.41","30.3","10/9/2024","67-ZTN","Consulta sobre facturacion. El cliente reporta intermitencia en el servicio."
"28-YWV","85","Basico","","45.1","6/12/2025","28-YWV","Error en sistema de recomendaciones. Se requiere seguimiento urgente."
"42-GWL","25","Basico","17.29","18.0","2/21/2024","42-GWL","OK"
"5-PFF","40","Basico","12.28","46.2","1/25/2021","5-PFF","CONSULTA TECNICA GENERAL"
"121-GMK","46","Basico","13.53","26.4","1/16/2021","121-GMK","ERROR EN LA APLICACION MOVIL"
"49-ELK","76","Basico","19.22","27.7","21-Jan-21","49-ELK","ERROR EN LA APLICACION MOVIL"
"60-EMF","89","Basico","","25.2","9/13/2023","60-EMF","ERROR EN SISTEMA DE RECOMENDACIONES"
"124-EHZ","67","Estandar","36.21","34.0","8/12/2022","124-EHZ","OK"
"47-BBW","41","Basico","15.69","33.2","8/31/2025","47-BBW","Problema con subtÃ­tulos. El problema persiste desde hace varios dÃ­as."
"61-GDQ","37","Basico","19.35","10.4","05/28/2022","61-GDQ","ERROR EN LA APLICACION MOVIL. El problema persiste desde hace varios dÃ­as."
"17-WJE","21","Premium","68.34","198.5","3/22/2022","17-WJE","CONSULTA TECNICA GENERAL"
"29-XTE","31","Basico","13.42","37.5","2/8/2021","29-XTE","OK"
"108-VBI","94","Basico","11.61","27.7","12/6/2021","108-VBI","PROBLEMA CON REPRODUCCIÃ“N DE VIDEO"
"9-VPD","40","Basico","18.98","41.8","1/23/2021","9-VPD","CONSULTA SOBRE CONTENIDO DISPONIBLE. El cliente reporta intermitencia en el servicio."
"104-ZTY","63","Basico","17.99","17.1","7/30/2023","104-ZTY","Consulta sobre contenido disponible"
"40-UCW","57","Premium","74.49","135.2","5-Mar-24","40-UCW","PROBLEMA DE CONEXION A INTERNET"
"17-ZHQ","71","Basico","15.35","47.6","29-Mar-25","17-ZHQ","SOLICITUD DE CANCELACIÃ“N DE SERVICIO"
"111-IUL","38","Prem","","187.9","10/27/2024","111-IUL","PROBLEMA CON SUBTÃTULOS"
"50-JBR","79","Basico","18.47","38.8","3/15/2024","50-JBR","Problema con subtÃ­tulos. Se requiere seguimiento urgente."
"44-QHO","31","Basico","14.29","33.2","3/21/2022","44-QHO","Error en sistema de recomendaciones. Problema resuelto en primera instancia."
"85-CYG","28","Basico","11.46","11.8","3/23/2023","85-CYG","Error en la aplicacion movil. Problema resuelto en primera instancia."
"62-DRX","65","Premium","73.34","106.3","05/19/2021","62-DRX","Consulta tecnica general"
"118-RZP","78","PREM","68.37","166.3","1/22/2023","118-RZP","consulta tecnica general"
"70-TNQ","16","Basico","","21.4","5/13/2024","70-TNQ","CONSULTA TECNICA GENERAL. Cliente insatisfecho con la respuesta anterior."
"16-KIM","50","Basico","13.88","40.8","12/27/2021","16-KIM","queja sobre atencion al cliente. Cliente insatisfecho con la respuesta anterior."
"107-NTU","28","Premium","58.18","138.3","9/16/2023","107-NTU","Problema con subtÃ­tulos"
"100-PRC","48","Basico","11.81","20.4","1/20/2024","100-PRC","Consulta sobre contenido disponible. Cliente insatisfecho con la respuesta anterior."
"4-TBY","52","Basico","","48.3","8/30/2025","4-TBY","PROBLEMA DE CONEXION A INTERNET. Se requiere seguimiento urgente."
"29-OFS","38","estandar","34.1","82.4","3/31/2025","29-OFS","consulta sobre facturacion. El problema persiste desde hace varios dÃ­as."
"96-KSB","99","Estandar","26.52","84.1","2/13/2021","96-KSB","Error en la aplicacion movil. Se necesita contactar al cliente para mÃ¡s informaciÃ³n."
"129-QAK","32","Estandar","30.42","92.4","4/24/2023","129-QAK","PROBLEMA CON SUBTÃTULOS. Problema resuelto en primera instancia."
"123-MVP","12","Basico","19.34","21.2","5/12/2023","123-MVP","Error en sistema de recomendaciones. Cliente insatisfecho con la respuesta anterior."
"54-JGH","17","Estandar","33.33","66.2","10/25/2024","54-JGH","Problema con subtÃ­tulos"
"4-CFR","80","Basico","14.72","31.2","3/7/2023","4-CFR","Consulta tecnica general. El problema persiste desde hace varios dÃ­as."
